MIP Rank,Player,MIP Share,Season,Won already
9T,Danny Green,0.045,2011-12,N
9T,Jeff Teague,0.045,2011-12,N
11T,Serge Ibaka,0.026,2011-12,N
11T,Ty Lawson,0.026,2011-12,N
13,Paul George,0.021,2011-12,N
14,Steve Novak,0.02,2011-12,N
15,DeMarcus Cousins,0.018,2011-12,N
16,Kevin Love,0.013,2011-12,N
17T,James Harden,0.012,2011-12,N
17T,Roy Hibbert,0.012,2011-12,N
19T,Marcin Gortat,0.01,2011-12,N
19T,Gerald Henderson,0.01,2011-12,N
21T,Marc Gasol,0.008,2011-12,N
21T,Kyle Lowry,0.008,2011-12,N
23,Gordon Hayward,0.007,2011-12,N
24T,Arron Afflalo,0.005,2011-12,N
24T,Tony Parker,0.005,2011-12,N
24T,C.J. Watson,0.005,2011-12,N
24T,Brandan Wright,0.005,2011-12,N
28T,Jarrett Jack,0.002,2011-12,N
28T,Marreese Speights,0.002,2011-12,N
1,Kevin Love,0.69,2010-11,N
2,LaMarcus Aldridge,0.271,2010-11,N
3,Dorell Wright,0.214,2010-11,N
4,Derrick Rose,0.119,2010-11,N
5,Kris Humphries,0.109,2010-11,N
6,Kyle Lowry,0.083,2010-11,N
7,Russell Westbrook,0.079,2010-11,N
8,Wesley Matthews,0.055,2010-11,N
9,Jrue Holiday,0.026,2010-11,N
10,Mike Conley,0.024,2010-11,N
11,Arron Afflalo,0.022,2010-11,N
12,Roy Hibbert,0.016,2010-11,N
13,DeMar DeRozan,0.01,2010-11,N
14T,Eric Gordon,0.009,2010-11,N
14T,Tyler Hansbrough,0.009,2010-11,N
14T,Nick Young,0.009,2010-11,N
17T,Darrell Arthur,0.007,2010-11,N
17T,Serge Ibaka,0.007,2010-11,N
17T,DeAndre Jordan,0.007,2010-11,N
17T,Thaddeus Young,0.007,2010-11,N
21T,D.J. Augustin,0.005,2010-11,N
21T,Luol Deng,0.005,2010-11,N
21T,Amar'e Stoudemire,0.005,2010-11,N
24T,Tony Allen,0.002,2010-11,N
24T,Michael Beasley,0.002,2010-11,N
24T,Elton Brand,0.002,2010-11,N
24T,Tyson Chandler,0.002,2010-11,N
24T,Jared Dudley,0.002,2010-11,N
24T,Marcin Gortat,0.002,2010-11,N
24T,James Harden,0.002,2010-11,N
24T,Jodie Meeks,0.002,2010-11,N
1,Aaron Brooks,0.655,2009-10,N
2T,Kevin Durant,0.164,2009-10,N
2T,Marc Gasol,0.164,2009-10,N
2T,George Hill,0.164,2009-10,N
5,Andrew Bogut,0.151,2009-10,N
6,Russell Westbrook,0.109,2009-10,N
7,Joakim Noah,0.104,2009-10,N
8,Gerald Wallace,0.047,2009-10,N
9T,Brook Lopez,0.031,2009-10,N
9T,Corey Brewer,0.031,2009-10,N
11,Carl Landry,0.029,2009-10,N
12T,Rajon Rondo,0.02,2009-10,N
12T,Andray Blatche,0.02,2009-10,N
14T,Channing Frye,0.016,2009-10,N
14T,Danilo Gallinari,0.016,2009-10,N
16,Josh Smith,0.013,2009-10,N
17,David Lee,0.011,2009-10,N
18,Dwight Howard,0.008,2009-10,N
19T,Ersan İlyasova,0.007,2009-10,N
19T,Chris Kaman,0.007,2009-10,N
19T,JJ Redick,0.007,2009-10,N
22T,Chris Douglas-Roberts,0.005,2009-10,N
22T,Nenê,0.005,2009-10,N
22T,Paul Millsap,0.005,2009-10,N
25,Robin Lopez,0.003,2009-10,N
26T,Monta Ellis,0.002,2009-10,N
26T,J.J. Hickson,0.002,2009-10,N
26T,Zach Randolph,0.002,2009-10,N
26T,John Salmons,0.002,2009-10,N
26T,Ben Wallace,0.002,2009-10,N
1,Danny Granger,0.602,2008-09,N
2,Devin Harris,0.56,2008-09,N
3,Kevin Durant,0.137,2008-09,N
4,Paul Millsap,0.127,2008-09,N
5,Nenê,0.096,2008-09,N
6,Rajon Rondo,0.048,2008-09,N
7,David Lee,0.041,2008-09,N
8,John Salmons,0.028,2008-09,N
9,Thaddeus Young,0.026,2008-09,N
10,Von Wafer,0.02,2008-09,N
11,Brandon Roy,0.013,2008-09,N
12T,Chris Andersen,0.01,2008-09,N
12T,J.R. Smith,0.01,2008-09,N
14T,Wilson Chandler,0.008,2008-09,N
14T,Glen Davis,0.008,2008-09,N
14T,Jason Terry,0.008,2008-09,N
17T,Aaron Brooks,0.007,2008-09,N
17T,Jameer Nelson,0.007,2008-09,N
19T,LaMarcus Aldridge,0.005,2008-09,N
19T,Kelenna Azubuike,0.005,2008-09,N
19T,Roger Mason,0.005,2008-09,N
19T,Dwyane Wade,0.005,2008-09,N
23T,Ronnie Brewer,0.003,2008-09,N
23T,Luis Scola,0.003,2008-09,N
25T,J.J. Barea,0.002,2008-09,N
25T,Andrea Bargnani,0.002,2008-09,N
25T,Rasual Butler,0.002,2008-09,N
25T,Mike Conley,0.002,2008-09,N
25T,Jeff Green,0.002,2008-09,N
25T,Emeka Okafor,0.002,2008-09,N
25T,Kendrick Perkins,0.002,2008-09,N
25T,Tyrus Thomas,0.002,2008-09,N
25T,Gerald Wallace,0.002,2008-09,N
25T,Mo Williams,0.002,2008-09,N
1,Hedo Türkoğlu,0.608,2007-08,N
2,Rudy Gay,0.267,2007-08,N
3,LaMarcus Aldridge,0.205,2007-08,N
4,Al Jefferson,0.16,2007-08,N
5,Rajon Rondo,0.123,2007-08,N
6,Mike Dunleavy,0.082,2007-08,N
7,José Calderón,0.072,2007-08,N
8,Chris Paul,0.066,2007-08,N
9,Beno Udrih,0.027,2007-08,N
10,David West,0.024,2007-08,N
11,Ronnie Brewer,0.019,2007-08,N
12,Andrew Bynum,0.018,2007-08,N
13,Chris Kaman,0.014,2007-08,N
14,Lou Williams,0.013,2007-08,N
15T,Andrew Bogut,0.011,2007-08,N
15T,Monta Ellis,0.011,2007-08,N
17,Rafer Alston,0.01,2007-08,N
18T,Andre Iguodala,0.008,2007-08,N
18T,LeBron James,0.008,2007-08,N
18T,Travis Outlaw,0.008,2007-08,N
21T,Brandon Bass,0.006,2007-08,N
21T,Deron Williams,0.006,2007-08,N
23T,Tyson Chandler,0.005,2007-08,N
23T,Dwight Howard,0.005,2007-08,N
23T,Linas Kleiza,0.005,2007-08,N
23T,Jason Maxiell,0.005,2007-08,N
23T,Shaquille O'Neal,0.005,2007-08,N
28T,Danny Granger,0.003,2007-08,N
28T,Brandon Roy,0.003,2007-08,N
30T,Roger Mason,0.002,2007-08,N
30T,J.R. Smith,0.002,2007-08,N
1,Monta Ellis,0.546,2006-07,N
2,Kevin Martin,0.541,2006-07,N
3,Deron Williams,0.157,2006-07,N
4,Tyson Chandler,0.112,2006-07,N
5,Andris Biedriņš,0.099,2006-07,N
6,Al Jefferson,0.096,2006-07,N
7,Luol Deng,0.068,2006-07,N
8,Leandro Barbosa,0.037,2006-07,N
9,Andre Iguodala,0.022,2006-07,N
10,David Lee,0.019,2006-07,N
11,Jason Kapono,0.016,2006-07,N
12T,Josh Howard,0.014,2006-07,N
12T,Mikki Moore,0.014,2006-07,N
14,Carlos Boozer,0.012,2006-07,N
15,José Calderón,0.009,2006-07,N
16,Amar'e Stoudemire,0.008,2006-07,N
17T,Matt Carroll,0.005,2006-07,N
17T,Eddy Curry,0.005,2006-07,N
17T,Boštjan Nachbar,0.005,2006-07,N
20,Caron Butler,0.003,2006-07,N
21T,Andrew Bynum,0.002,2006-07,N
21T,Ben Gordon,0.002,2006-07,N
21T,Nenê,0.002,2006-07,N
21T,Dwight Howard,0.002,2006-07,N
21T,Sasha Pavlović,0.002,2006-07,N
21T,Josh Smith,0.002,2006-07,N
21T,Gerald Wallace,0.002,2006-07,N
21T,Luke Walton,0.002,2006-07,N
21T,Chris Wilcox,0.002,2006-07,N
1,Boris Diaw,0.776,2005-06,N
2,David West,0.449,2005-06,N
3,Nenad Krstić,0.103,2005-06,N
4,Gerald Wallace,0.073,2005-06,N
5,Chris Bosh,0.068,2005-06,N
6T,Andrés Nocioni,0.046,2005-06,N
6T,Tony Parker,0.046,2005-06,N
8,Mike James,0.033,2005-06,N
9,Carmelo Anthony,0.03,2005-06,N
10,Jameer Nelson,0.029,2005-06,N
11T,Yao Ming,0.022,2005-06,N
11T,Chris Kaman,0.022,2005-06,N
13,Elton Brand,0.016,2005-06,N
14T,DeSagana Diop,0.013,2005-06,N
14T,Smush Parker,0.013,2005-06,N
16T,Pau Gasol,0.01,2005-06,N
16T,Mehmet Okur,0.01,2005-06,N
18,Dwight Howard,0.008,2005-06,N
19T,Caron Butler,0.006,2005-06,N
19T,LeBron James,0.006,2005-06,N
21T,Kevin Martin,0.003,2005-06,N
21T,Zaza Pachulia,0.003,2005-06,N
23T,Raja Bell,0.002,2005-06,N
23T,Kobe Bryant,0.002,2005-06,N
23T,Luol Deng,0.002,2005-06,N
23T,Matt Harpring,0.002,2005-06,N
23T,Paul Pierce,0.002,2005-06,N
23T,Bobby Simmons,0.002,2005-06,N
23T,Josh Smith,0.002,2005-06,N
23T,Chris Wilcox,0.002,2005-06,N
23T,Mo Williams,0.002,2005-06,N
